transaction_id,amount,datetime,created_at,modified_at,description,tags
20250421-48,2020,2025-02-10 11:19:18,2025-04-21 03:12:44,2025-04-21 03:12:44,"谢尔比PeriPeri葡式烤鸡(望京店）-美团App-25021011100300001300272780110512",未分类|支出|WECHAT
20250421-55,2760,2025-02-05 11:27:36,2025-04-21 03:12:44,2025-04-21 03:12:44,"食其家·牛丼咖喱（北京望京新世界店）-美团App-25020511100300001309374648176512",未分类|支出|WECHAT
20250421-3,3861,2025-03-03 18:27:52,2025-04-21 03:12:44,2025-04-21 03:12:44,"/",未分类|支出|WECHAT
20250421-39,2500,2025-02-17 11:44:41,2025-04-21 03:12:44,2025-04-21 03:12:44,"老广烧腊（望京店）-美团App-25021711100300001301540768835512",未分类|支出|WECHAT
20250421-27,2440,2025-02-23 17:29:12,2025-04-21 03:12:44,2025-04-21 03:12:44,"麦当劳",未分类|支出|WECHAT
20250421-28,8400,2025-02-23 13:23:24,2025-04-21 03:12:44,2025-04-21 03:12:44,"转账备注:微信转账",未分类|支出|WECHAT
20250421-24,5265,2025-02-24 16:58:46,2025-04-21 03:12:44,2025-04-21 03:12:44,"京东-订单编号310081082942",未分类|支出|WECHAT
20250421-34,400000,2025-02-22 16:41:10,2025-04-21 03:12:44,2025-04-21 03:12:44,"转账备注:微信转账",未分类|收入|WECHAT
20250421-54,4840,2025-02-05 16:00:18,2025-04-21 03:12:44,2025-04-21 03:12:44,"DQ.蛋糕.冰淇淋（望京凯德店）-美团App-25020511100300001309430324349512",未分类|支出|WECHAT
20250421-40,4900,2025-02-15 22:08:48,2025-04-21 03:12:44,2025-04-21 03:12:44,"北京新影联华谊兄弟影院 卖品",未分类|支出|WECHAT
20250421-18,1445,2025-02-26 00:52:07,2025-04-21 03:12:44,2025-04-21 03:12:44,"/",未分类|支出|WECHAT
20250421-4,2890,2025-03-03 11:07:58,2025-04-21 03:12:44,2025-04-21 03:12:44,"豪七港式烧腊（健德门店）-美团App-25030311100300001303936225885512",未分类|支出|WECHAT
20250421-49,600,2025-02-10 04:17:12,2025-04-21 03:12:44,2025-04-21 03:12:44,"查询购买记录：reportaproblem.apple.com| 如需帮助请访问：support.apple.com",未分类|支出|WECHAT
20250421-1,258,2025-03-03 20:37:32,2025-04-21 03:12:44,2025-04-21 03:12:44,"/",未分类|支出|WECHAT
20250421-16,25800,2025-02-26 13:46:09,2025-04-21 03:12:44,2025-04-21 03:12:44,"日本个人旅游签证3个月单次北京送签简化办理代做机酒材料免资产全电子材料免邮寄适用于指",未分类|支出|WECHAT
20250421-7,15800,2025-02-28 18:59:12,2025-04-21 03:12:44,2025-04-21 03:12:44,"/",未分类|收入|WECHAT
20250421-2,10125,2025-03-03 18:39:20,2025-04-21 03:12:44,2025-04-21 03:12:44,"京东-订单编号311051288070",未分类|支出|WECHAT
